2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:45:10|Coffee|Starbucks|-6.75
2023-04-16|13:30:00|Website Deposit|Client|800.00
2026-04-28|16:56:29.933200300|Drums|Amazon|16.990000
2026-04-28|17:01:53.746571|drums|Amazon|-16.990000
2026-04-28|17:05:31.836568800|drums|amazon|-16.990000
2026-04-29|09:25:48.665679700|Drums|Amazon|16.990000
2026-04-29|09:52:35.843213900|Piano|Wal-Mart|16.650000
2026-04-29|09:53:49.346032| Keyboard|PG|5.000000
2026-04-30 | 15:56:01 | Paycheck | Amazon | $1500.00
2026-04-30 | 16:00:06 | Netflix subscription | Netflix | $-20.00
2026-04-30 | 16:02:20 | Gym membership | Walmart | $1500.00
2026-04-30 | 16:05:21 | Youtube | Youtube | $-1500.00
2026-04-15|12:30:00|Gas|Shell|-40.00
2026-03-20|09:15:00|Groceries|Walmart|-85.00
2025-12-10|14:10:00|Gift Bonus|Target|200.00
2025-07-01|18:00:00|Rent|Apartment|-700.00
2026-04-30|16:41:22|Drums|Amazon|$1500.00
2026-04-30|16:42:29|Drums|Amazon|$1529.56
2026-04-30|16:43:25|Guitar|GC|$1524.00
2026-04-30|17:41:49|Membership|Youtube|$45.48
2026-04-30|17:42:50|Membership|Youtube|$-45.48
